Date,Time,Locale,Species,Age,Sex,Morph,Copulation.status,Parasites,Catching.time.minutes.,Year,Ischunra.elegans.morph,Ischunra.elegans.phase
5/22/18,11:33,Borgeby,Ischnura_elegans,Teneral,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Immature,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Immature,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Immature,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Teneral,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Teneral,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Teneral,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Teneral,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Enallagma_cyathigerum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Enallagma_cyathigerum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Enallagma_cyathigerum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Enallagma_cyathigerum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Immature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Immature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Immature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Immature,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Immature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Immature,0,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Immature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Ischnura_elegans,Immature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_lunulatum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Coenagrion_pulchellum,Immature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Brachytron_pratense,Mature,1,,0,NA,30,2018,NA,NA
5/22/18,11:33,Borgeby,Brachytron_pratense,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Sympetrum_vulgatum,Teneral,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Sympetrum_vulgatum,Teneral,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Sympetrum_vulgatum,Teneral,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Sympetrum_vulgatum,Teneral,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,0,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,0,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,0,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,0,,1,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,1,,1,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Immature,0,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,0,,1,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,1,,1,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Immature,0,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Ischnura_elegans,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,1,,0,NA,30,2018,NA,NA
6/25/18,9:48,Borgeby,Lestes_sponsa,Mature,1,,0,NA,30,2018,NA,NA
