S.No.,Species,Locale,MaleMatingSuccess,Is,Year,n
1,Enallagma_cyathigerum,Borgeby,0,0,2018,10
2,Enallagma_cyathigerum,Bunkeflostrand,0,0,2018,1
3,Enallagma_cyathigerum,Flackarp,0,0,2018,5
4,Enallagma_cyathigerum,Flyinge_30_A3,0,0,2018,12
5,Enallagma_cyathigerum,Genarp,0,0,2018,1
6,Enallagma_cyathigerum,Gunnesbo,0.038461538,0.036982249,2018,26
7,Enallagma_cyathigerum,Hoje_A_14,0.041666667,0.039930556,2018,48
8,Enallagma_cyathigerum,Hoje_A_6,0.05511811,0.052080104,2018,127
9,Enallagma_cyathigerum,Hoje_A_7,0,0,2018,7
10,Enallagma_cyathigerum,Ilstorp,0.070175439,0.065250846,2018,57
11,Enallagma_cyathigerum,Lomma_Kyrkdamm,0.061538462,0.057751479,2018,65
12,Enallagma_cyathigerum,Lunnarp,0.0625,0.05859375,2018,96
13,Enallagma_cyathigerum,Rabydammen,0.260869565,0.192816635,2018,23
14,Enallagma_cyathigerum,Sovdemolla,0.166666667,0.138888889,2018,6
15,Enallagma_cyathigerum,Vombs_Bruksgard,0.142857143,0.12244898,2018,21
16,Enallagma_cyathigerum,Vombs_Vattenverk,0.032786885,0.031711905,2018,61
17,Ischnura_elegans,Borgeby,0.071428571,0.066326531,2018,42
18,Ischnura_elegans,Bunkeflostrand,0.252525253,0.188756249,2018,99
19,Ischnura_elegans,Flackarp,0.081632653,0.074968763,2018,49
20,Ischnura_elegans,Flyinge_30_A1,0.090909091,0.082644628,2018,22
21,Ischnura_elegans,Flyinge_30_A3,0.069767442,0.064899946,2018,43
22,Ischnura_elegans,Genarp,0.183673469,0.149937526,2018,49
23,Ischnura_elegans,Gunnesbo,0.08,0.0736,2018,75
24,Ischnura_elegans,Habo_Gard,0,0,2018,20
25,Ischnura_elegans,Hoje_A_14,0.151515152,0.12855831,2018,33
26,Ischnura_elegans,Hoje_A_6,0,0,2018,20
27,Ischnura_elegans,Hoje_A_7,0.054545455,0.051570248,2018,55
28,Ischnura_elegans,IKEA,0.095238095,0.0861678,2018,21
29,Ischnura_elegans,Ilstorp,0.205128205,0.163050625,2018,78
30,Ischnura_elegans,Lomma_Kyrkdamm,0.12,0.1056,2018,50
31,Ischnura_elegans,Lunnarp,0.064516129,0.060353798,2018,31
32,Ischnura_elegans,Rabydammen,0,0,2018,2
33,Ischnura_elegans,Sovdemolla,0.666666667,0.222222222,2018,3
34,Ischnura_elegans,Vombs_Bruksgard,0,0,2018,5
35,Ischnura_elegans,Vombs_Vattenverk,0.44,0.2464,2018,100
36,Enallagma_cyathigerum,Borgeby,0.111111111,0.098765432,2019,9
37,Enallagma_cyathigerum,Bunkeflostrand,0,0,2019,5
38,Enallagma_cyathigerum,Flackarp,0,0,2019,1
39,Enallagma_cyathigerum,Genarp,0,0,2019,20
40,Enallagma_cyathigerum,Gunnesbo,0,0,2019,12
41,Enallagma_cyathigerum,Hoje_A_14,0.142857143,0.12244898,2019,28
